iter	Passed	Remaining
0	4	2185
1	8	2009
2	12	2125
3	17	2165
4	21	2138
5	25	2117
6	30	2160
7	34	2104
8	38	2100
9	42	2101
10	48	2147
11	53	2179
12	58	2177
13	63	2192
14	67	2183
15	71	2173
16	76	2162
17	81	2177
18	86	2183
19	90	2171
20	95	2175
21	99	2168
22	104	2161
23	109	2169
24	114	2174
25	118	2167
26	123	2156
27	128	2160
28	132	2157
29	137	2149
30	142	2148
31	147	2158
32	152	2153
33	155	2126
34	160	2128
35	165	2131
36	169	2125
37	174	2122
38	179	2126
39	184	2123
40	189	2117
41	195	2128
42	200	2132
43	205	2126
44	210	2127
45	215	2123
46	219	2118
47	227	2138
48	231	2126
49	235	2119
50	240	2116
51	243	2098
52	248	2093
53	252	2086
54	257	2083
55	262	2078
56	266	2075
57	271	2071
58	276	2069
59	281	2063
60	283	2043
61	288	2040
62	293	2037
63	298	2030
64	302	2024
65	307	2022
66	312	2018
67	317	2015
68	322	2014
69	327	2012
70	331	2005
71	336	1998
72	342	2001
73	346	1996
74	351	1989
75	356	1986
76	361	1985
77	365	1978
78	370	1972
79	375	1968
80	380	1965
81	384	1960
82	389	1956
83	393	1951
84	398	1944
85	403	1940
86	408	1937
87	412	1931
88	416	1924
89	421	1920
90	426	1916
91	430	1910
92	436	1908
93	440	1903
94	445	1897
95	449	1890
96	454	1888
97	459	1883
98	463	1877
99	468	1872
100	473	1869
101	477	1864
102	482	1858
103	487	1854
104	491	1850
105	496	1843
106	500	1838
107	506	1839
108	511	1834
109	515	1829
110	521	1825
111	526	1823
112	530	1817
113	535	1812
114	539	1806
115	543	1800
116	548	1794
117	552	1790
118	557	1785
119	560	1775
120	564	1769
121	569	1765
122	574	1760
123	578	1754
124	583	1749
125	588	1745
126	592	1740
127	596	1734
128	602	1731
129	606	1726
130	610	1720
131	615	1716
132	621	1713
133	625	1708
134	628	1700
135	633	1695
136	638	1691
137	642	1685
138	646	1680
139	652	1677
140	656	1672
141	661	1666
142	666	1663
143	671	1660
144	675	1654
145	680	1649
146	685	1645
147	689	1640
148	694	1635
149	699	1631
150	702	1622
151	706	1617
152	710	1611
153	715	1607
154	720	1603
155	724	1598
156	729	1593
157	734	1589
158	738	1584
159	743	1579
160	748	1575
161	752	1570
162	756	1564
163	761	1559
164	766	1556
165	771	1552
166	775	1546
167	780	1542
168	785	1538
169	789	1533
170	794	1527
171	799	1524
172	804	1520
173	808	1515
174	813	1511
175	818	1507
